ts,o,h,l,c,v
2026-07-17T13:30:00+00:00,9.2,10.4,9.2,10.4,21
2026-07-17T13:35:00+00:00,10.67,10.67,10.65,10.65,2
2026-07-17T13:40:00+00:00,10.9,10.9,10.3,10.72,11
2026-07-17T13:45:00+00:00,9.5,9.8,9.5,9.6,14
2026-07-17T13:50:00+00:00,8.9,8.9,7.8,8.0,11
2026-07-17T13:55:00+00:00,7.0,7.0,7.0,7.0,1
2026-07-17T14:00:00+00:00,6.5,6.5,6.2,6.3,5
2026-07-17T14:05:00+00:00,6.5,6.62,6.09,6.36,9
2026-07-17T14:10:00+00:00,6.18,6.91,5.73,6.91,16
2026-07-17T14:15:00+00:00,6.91,6.91,6.91,6.91,0
2026-07-17T14:20:00+00:00,7.0,7.0,7.0,7.0,1
2026-07-17T14:25:00+00:00,6.64,6.64,6.64,6.64,1
2026-07-17T14:30:00+00:00,7.1,7.1,7.02,7.02,14
2026-07-17T14:35:00+00:00,7.02,7.02,7.02,7.02,0
2026-07-17T14:40:00+00:00,7.02,7.02,7.02,7.02,0
2026-07-17T14:45:00+00:00,6.6,6.82,6.6,6.82,3
2026-07-17T14:50:00+00:00,7.4,7.4,7.32,7.32,6
2026-07-17T14:55:00+00:00,7.32,7.32,7.32,7.32,0
2026-07-17T15:00:00+00:00,7.71,7.95,7.7,7.8,5
2026-07-17T15:05:00+00:00,8.0,8.0,8.0,8.0,1
2026-07-17T15:10:00+00:00,7.59,7.72,7.59,7.72,3
2026-07-17T15:15:00+00:00,7.45,7.6,7.45,7.49,502
2026-07-17T15:20:00+00:00,7.2,7.5,7.2,7.5,4
2026-07-17T15:25:00+00:00,7.5,7.5,7.5,7.5,0
2026-07-17T15:30:00+00:00,6.41,6.41,6.1,6.1,2
2026-07-17T15:35:00+00:00,6.3,6.3,6.3,6.3,2
2026-07-17T15:40:00+00:00,6.1,6.2,6.1,6.12,9
2026-07-17T15:45:00+00:00,5.98,6.1,5.98,6.1,2
2026-07-17T15:50:00+00:00,6.15,6.3,6.15,6.3,7
2026-07-17T15:55:00+00:00,6.3,6.3,6.3,6.3,0
2026-07-17T16:00:00+00:00,5.56,5.7,5.56,5.7,3
2026-07-17T16:05:00+00:00,5.6,6.0,5.6,6.0,10
2026-07-17T16:10:00+00:00,5.88,5.88,5.84,5.84,12
2026-07-17T16:15:00+00:00,6.05,6.05,6.05,6.05,5
2026-07-17T16:20:00+00:00,6.1,6.38,6.1,6.38,9
2026-07-17T16:25:00+00:00,6.38,6.38,6.38,6.38,0
2026-07-17T16:30:00+00:00,6.5,6.5,6.5,6.5,1
2026-07-17T16:35:00+00:00,6.41,6.41,6.4,6.4,11
2026-07-17T16:40:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-17T16:45:00+00:00,6.41,6.41,6.4,6.4,11
2026-07-17T16:50:00+00:00,6.55,6.55,6.5,6.5,7
2026-07-17T16:55:00+00:00,6.66,6.66,6.66,6.66,1
2026-07-17T17:00:00+00:00,6.35,6.35,6.35,6.35,10
2026-07-17T17:05:00+00:00,6.2,6.2,6.2,6.2,1
2026-07-17T17:10:00+00:00,6.2,6.2,6.2,6.2,0
2026-07-17T17:15:00+00:00,6.4,6.4,6.4,6.4,1
2026-07-17T17:20:00+00:00,6.75,6.75,6.7,6.7,7
2026-07-17T17:25:00+00:00,6.57,6.7,6.57,6.7,3
2026-07-17T17:30:00+00:00,6.45,6.5,6.45,6.5,12
2026-07-17T17:35:00+00:00,6.5,6.55,6.5,6.55,2
2026-07-17T17:40:00+00:00,6.75,6.9,6.75,6.9,2
2026-07-17T17:45:00+00:00,6.9,6.9,6.9,6.9,0
2026-07-17T17:50:00+00:00,6.85,7.4,6.85,7.4,5
2026-07-17T17:55:00+00:00,7.0,7.0,7.0,7.0,5
2026-07-17T18:00:00+00:00,7.0,7.0,7.0,7.0,1
2026-07-17T18:05:00+00:00,7.1,7.17,7.1,7.17,17
2026-07-17T18:10:00+00:00,7.24,7.24,7.2,7.2,6
2026-07-17T18:15:00+00:00,7.13,7.2,7.12,7.2,5
2026-07-17T18:20:00+00:00,7.2,7.2,7.2,7.2,0
2026-07-17T18:25:00+00:00,7.0,7.0,7.0,7.0,2
2026-07-17T18:30:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-17T18:35:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-17T18:40:00+00:00,6.9,7.0,6.9,7.0,2
2026-07-17T18:45:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-17T18:50:00+00:00,7.0,7.1,6.92,7.1,17
2026-07-17T18:55:00+00:00,7.0,7.0,7.0,7.0,2
2026-07-17T19:00:00+00:00,7.11,7.11,7.11,7.11,20
